SubjID,TestSite,ExclReason,Included VSL2,Included LDT,Date,Sex,Age,Ethnicity,Race,handedness_score,read_for_pleasure,born_in_us,first_language,language_disability,spl_cor,spl_inc,spl_perc,vcb_cor,vcb_inc,vcb_perc,art_cor,art_inc,art_diff,TOWRE_rank,TOWRE_descriptor,hits,misses,correctRejections,falseAlarms,totalTrials,hit_rate,fa_rate,hit_rate_z,fa_rate_z,d_prime_raw,d_prime_zscore,sensitivity,z_vcb,z_spl,z_art,Dim.1,Dim.2,Orthographic_Sensitivity,Semantic_Sensitivity,List,accuracy,average_response_time,cond_trig,correct,counter,cresp,datetime,experiment_file,logfile,response,response_time,trial_type,family_size,complexity,target,total_correct,total_response_time,total_responses,word_trig,targ_type,base,affix,Source,FS,BF,LogBF,Family_Size,Base_Frequency,BaseLength,WholeFormLength,Sublist,Complexity,LogBF_std,FS_std,BF_std,Dim.2_std
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,66.6666666667,687.386363636,206,1,132,z,09/19/17 15:43:22,AB,subject-101.csv,z,708,NW,L,SIMP,wigith,88,90735,132,9,NW_L_SIMP,wig,ish,Crepaldi,8,262,5.57,Large Family,High BF,3,6,2,Simple,-0.5350258743743356,-0.23132791518666088,-0.5425658639978352,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,68.4210526316,684.480263158,206,1,152,z,09/19/17 15:43:22,AB,subject-101.csv,z,920,NW,L,SIMP,classoes,104,104041,152,18,NW_L_SIMP,class,ous,Crepaldi,29,6216,8.73,Large Family,High BF,5,8,2,Simple,1.5223154681315652,1.4379703477031642,1.8896367039575306,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,68.5897435897,687.91025641,205,1,156,z,09/19/17 15:43:22,AB,subject-101.csv,z,814,NW,S,SIMP,acremant,107,107314,156,16,NW_S_SIMP,acre,ment,Rastle,3,708,6.56,Small Family,High BF,4,8,2,Simple,0.10952093862593033,-0.6287798825413812,-0.3603753458070235,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,65.9340659341,697.335164835,205,1,182,z,09/19/17 15:43:22,AB,subject-101.csv,z,776,NW,S,SIMP,helmetoes,120,126915,182,14,NW_S_SIMP,helmet,ous,Crepaldi,6,242,5.49,Small Family,High BF,6,9,2,Simple,-0.587110465323852,-0.390308702128549,-0.5507358423920421,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,63.3663366337,712.643564356,206,1,202,z,09/19/17 15:43:22,AB,subject-101.csv,z,870,NW,L,SIMP,witchith,128,143954,202,11,NW_L_SIMP,witch,ish,Crepaldi,11,890,6.79,Large Family,High BF,5,8,2,Simple,0.2592641376057905,0.007143265226171272,-0.28602854241974157,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,64.5454545455,708.25,205,1,220,z,09/19/17 15:43:22,AB,subject-101.csv,z,649,NW,S,SIMP,jawla,142,155815,220,7,NW_S_SIMP,jaw,ly,Crepaldi,7,414,6.03,Small Family,High BF,3,5,2,Simple,-0.23553947641461587,-0.31081830865760496,-0.4804740282018635,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,64.3137254902,700.470588235,205,1,255,z,09/19/17 15:43:22,AB,subject-101.csv,z,675,NW,S,SIMP,feverime,164,178620,255,24,NW_S_SIMP,fever,ize,XuTaft,4,594,6.39,Small Family,High BF,5,8,2,Simple,-0.0011588171417921244,-0.5492894890704371,-0.4069442226540023,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,66.0583941606,696.518248175,205,1,274,z,09/19/17 15:43:22,AB,subject-101.csv,z,875,NW,S,SIMP,yieldilt,181,190846,274,20,NW_S_SIMP,yield,ist,RastleFiller,4,613,6.42,Small Family,High BF,5,8,2,Simple,0.018372904464276713,-0.5492894890704371,-0.39918274317950586,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,65.8620689655,699.413793103,206,1,290,z,09/19/17 15:43:22,AB,subject-101.csv,z,687,NW,L,SIMP,towerla,191,202830,290,15,NW_L_SIMP,tower,ly,Crepaldi,9,1180,7.07,Large Family,High BF,5,7,2,Simple,0.4415602059290983,-0.15183752171571682,-0.16756385570374294,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,65.9793814433,700.223367698,205,1,291,z,09/19/17 15:43:22,AB,subject-101.csv,z,935,NW,S,SIMP,winkidy,192,203765,291,21,NW_S_SIMP,wink,ity,RastleFiller,4,216,5.38,Small Family,High BF,4,7,2,Simple,-0.6587267778794375,-0.5492894890704371,-0.5613568143045109,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,66.2116040956,699.938566553,206,1,293,z,09/19/17 15:43:22,AB,subject-101.csv,z,699,NW,L,SIMP,shootmant,194,205082,293,16,NW_L_SIMP,shoot,ment,Crepaldi,23,1828,7.51,Large Family,High BF,5,9,2,Simple,0.7280254561514385,0.9610279868774999,0.09714344426855753,-0.7494913065080693
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,50,660.125,204,1,8,z,09/22/17 12:38:57,BA,subject-103.csv,z,862,NW,L,SIMP,stirange,4,5281,8,1,NW_L_SIMP,stir,ance,Crepaldi,12,841,6.73,Large Family,High BF,4,8,1,Simple,0.22020069439365336,0.08663365869711533,-0.30604498948554826,0.28599175173429253
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,64.2857142857,699.428571429,203,1,14,z,09/22/17 12:38:57,BA,subject-103.csv,z,846,NW,S,SIMP,pillime,9,9792,14,13,NW_S_SIMP,pill,ize,Crepaldi,5,537,6.29,Small Family,High BF,4,7,1,Simple,-0.06626455582868748,-0.469799095599493,-0.4302286610774917,0.28599175173429253
